season,seat,points,place
2026,9,1590.7555977431807,9
2026,10,1834.761048153713,2
2026,1,1886.742991731655,2
2026,2,1798.1974808653918,4
2026,3,1678.981666191538,6
2026,4,1748.750263348973,5
2026,5,1670.4083599574549,7
2026,6,1521.767218712724,9
2026,7,1548.1306146439183,8
2026,8,1461.935073266167,10
2026,9,1926.245638470641,1
2026,10,1812.7543349655618,3
2026,1,1802.0276789889072,5
2026,2,1919.8361801317792,2
2026,3,2088.8655758157774,1
2026,4,1819.3309039087314,4
2026,5,1660.0803343102657,9
2026,6,1864.263299746693,3
2026,7,1589.501640811005,10
2026,8,1741.5250761920556,7
2026,9,1676.9775182667722,8
2026,10,1795.4984133617418,6
2026,1,1974.7999167447017,1
2026,2,1604.5691061319706,10
2026,3,1741.2761898403865,6
2026,4,1659.9628375113764,9
2026,5,1768.813287748069,5
2026,6,1736.047813390769,7
2026,7,1774.6552404231288,4
2026,8,1685.2224593404112,8
2026,9,1965.961283069029,2
2026,10,1862.634016140589,3
2026,1,1638.711625943116,6
2026,2,1340.2358930363296,10
2026,3,1555.918491898139,9
2026,4,1740.8709352012352,3
2026,5,1757.3760473587117,2
2026,6,1757.9490797735252,1
2026,7,1729.4147921655667,4
2026,8,1709.430226619311,5
2026,9,1603.4841909070592,8
2026,10,1636.2232644284256,7
2026,1,1496.870288626145,10
2026,2,1549.4691149717146,9
2026,3,1755.71361022402,6
2026,4,1758.617052051113,5
2026,5,1868.4192097955424,1
2026,6,1715.4144820370173,7
2026,7,1796.6909403409081,3
2026,8,1796.3791093685295,4
2026,9,1614.395743904399,8
2026,10,1861.4296420746123,2
2026,1,1459.186234250957,10
2026,2,1678.7148853751687,5
2026,3,1744.8075859687212,4
2026,4,1949.6569141837904,2
2026,5,1591.5771968735844,8
2026,6,2098.3185184184204,1
2026,7,1912.1100203400947,3
2026,8,1606.6025555990632,6
2026,9,1602.1835774057718,7
2026,10,1523.351199951561,9
2026,1,1619.2040720160153,8
2026,2,1675.157800363029,5
2026,3,1762.5081603229125,4
2026,4,1629.8413752369909,7
2026,5,1772.9421116022497,2
2026,6,1660.237704725277,6
2026,7,1532.5927286272681,10
2026,8,1772.7765634803598,3
2026,9,1833.882146283248,1
2026,10,1589.7290250649503,9
2026,1,1728.4737667783913,6
2026,2,1766.7568008714488,5
2026,3,1872.785530190107,1
2026,4,1835.0666613168428,3
2026,5,1628.2017862190955,9
2026,6,1871.6759486351043,2
2026,7,1805.0332438973242,4
2026,8,1710.5055199719761,8
2026,9,1723.5309225931715,7
2026,10,1613.1108563876953,10
2026,1,1704.617671066882,6
2026,2,1990.823668335659,1
2026,3,1921.375443052741,2
2026,4,1470.1832102567769,9
2026,5,1778.4320968833474,4
2026,6,1404.9240565045943,10
2026,7,1733.743949926547,5
2026,8,1825.1514739580275,3
2026,9,1648.3182143339423,7
2026,10,1637.548909147794,8
2026,1,1710.48735484536,4
2026,2,1578.2055955560393,9
2026,3,1981.5881915490263,1
2026,4,1741.9131422457876,3
2026,5,1771.4302157998748,2
2026,6,1612.6803916229494,8
2026,7,1491.1450154536815,10
2026,8,1651.4404210705952,5
2026,9,1623.2012327142518,7
2026,10,1624.434192182959,6
2026,1,1648.7851418001515,8
2026,2,2005.3240564071161,2
2026,3,1635.197310523667,9
2026,4,2157.366936991461,1
