season,seat,points,place
2016,2,1806.98,6
2016,3,1934.9,2
2016,4,1935.48,1
2016,5,1768.56,8
2016,6,1861.8600000000001,4
2016,7,1887.1599999999999,3
2016,8,1732.6,10
2016,9,1733.82,9
2016,10,1848.84,5
2016,1,1873.28,4
2016,2,1882.26,3
2016,3,1792.48,8
2016,4,1845.4,6
2016,5,1762.92,9
2016,6,1865.1,5
2016,7,1694.52,10
2016,8,1919.48,1
2016,9,1796.88,7
2016,10,1907.6599999999999,2
2016,1,1838.1799999999998,6
2016,2,1791.3,9
2016,3,1830.72,7
2016,4,1754.8600000000001,10
2016,5,1879.76,2
2016,6,1803.2600000000002,8
2016,7,1865.6599999999999,3
2016,8,2001.3,1
2016,9,1841.1799999999998,5
2016,10,1841.6,4
2016,1,1741.72,10
2016,2,1885.9599999999998,1
2016,3,1870.7799999999997,4
2016,4,1857.02,5
2016,5,1838.94,8
2016,6,1875.7800000000002,3
2016,7,1833.96,9
2016,8,1856.2,6
2016,9,1883.3000000000002,2
2016,10,1856.1000000000001,7
2016,1,1868.92,1
2016,2,1852.6,3
2016,3,1850.42,4
2016,4,1821.2399999999998,6
2016,5,1803.98,8
2016,6,1805.3000000000002,7
2016,7,1838.26,5
2016,8,1854.1200000000001,2
2016,9,1738.62,10
2016,10,1772.8600000000001,9
2016,1,1782.7999999999997,8
2016,2,1827.08,6
2016,3,1794.8200000000002,7
2016,4,1769.7599999999998,9
2016,5,1851.8400000000001,5
2016,6,1767.2799999999997,10
2016,7,1993.48,1
2016,8,1854.96,4
2016,9,1871.5,3
2016,10,1930.6200000000003,2
2016,1,1963.42,1
2016,2,1696.7199999999998,10
2016,3,1822.06,8
2016,4,1828.26,7
2016,5,1829.68,6
2016,6,1713.28,9
2016,7,1882.08,2
2016,8,1837.04,4
2016,9,1853.98,3
2016,10,1836.0000000000002,5
2016,1,1748.76,10
2016,2,1931.58,1
2016,3,1829.2800000000002,5
2016,4,1861.08,4
2016,5,1765.26,8
2016,6,1811.6800000000003,6
2016,7,1912.9,3
2016,8,1922.7199999999998,2
2016,9,1810.5200000000002,7
2016,10,1758.06,9
2016,1,1756.1200000000003,9
2016,2,1863.1599999999999,4
2016,3,1844.9199999999996,5
2016,4,1789.8000000000002,7
2016,5,1709.88,10
2016,6,1841.2,6
2016,7,1928.56,1
2016,8,1872.56,3
2016,9,1900.24,2
2016,10,1768.6200000000001,8
2016,1,1892.66,3
2016,2,1774.7199999999998,9
2016,3,1840.36,5
2016,4,1924.94,1
2016,5,1825.48,6
2016,6,1781.6999999999998,8
2016,7,1879.58,4
2016,8,1764.0,10
2016,9,1906.6399999999999,2
2016,10,1792.72,7
2016,1,1851.6599999999999,4
2016,2,1753.56,9
2016,3,1817.52,6
2016,4,1719.04,10
2016,5,1823.1399999999999,5
2016,6,2017.24,1
2016,7,1864.26,2
2016,8,1783.3599999999997,8
2016,9,1862.38,3
2016,10,1787.22,7
2016,1,1831.48,4
2016,2,1821.3400000000001,5
